,precision,recall,f1-score,support
0.0,0.9142857142857143,0.32,0.47407407407407415,100.0
1.0,0.5878787878787879,0.97,0.7320754716981132,100.0
accuracy,0.645,0.645,0.645,0.645
macro avg,0.751082251082251,0.645,0.6030747728860937,200.0
weighted avg,0.7510822510822511,0.645,0.6030747728860937,200.0
