,precision,recall,f1-score,support
0.0,0.8846153846153846,0.46,0.605263157894737,100.0
1.0,0.6351351351351351,0.94,0.7580645161290321,100.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7598752598752598,0.7,0.6816638370118846,200.0
weighted avg,0.7598752598752598,0.7,0.6816638370118845,200.0
