,precision,recall,f1-score,support
0.0,0.9,0.6847826086956522,0.7777777777777778,92.0
1.0,0.7622950819672131,0.93,0.8378378378378378,100.0
accuracy,0.8125,0.8125,0.8125,0.8125
macro avg,0.8311475409836065,0.8073913043478261,0.8078078078078078,192.0
weighted avg,0.8282786885245902,0.8125,0.8090590590590591,192.0
