,precision,recall,f1-score,support
0.0,0.9294117647058824,0.79,0.8540540540540541,100.0
1.0,0.8173913043478261,0.94,0.8744186046511627,100.0
accuracy,0.865,0.865,0.865,0.865
macro avg,0.8734015345268542,0.865,0.8642363293526084,200.0
weighted avg,0.8734015345268543,0.865,0.8642363293526084,200.0
