,precision,recall,f1-score,support
0.0,0.8598130841121495,0.92,0.888888888888889,100.0
1.0,0.9139784946236559,0.85,0.8808290155440415,100.0
accuracy,0.885,0.885,0.885,0.885
macro avg,0.8868957893679027,0.885,0.8848589522164652,200.0
weighted avg,0.8868957893679027,0.885,0.8848589522164653,200.0
