,precision,recall,f1-score,support
0.0,0.9012345679012346,0.7934782608695652,0.8439306358381502,92.0
1.0,0.8288288288288288,0.92,0.8720379146919431,100.0
accuracy,0.859375,0.859375,0.859375,0.859375
macro avg,0.8650316983650317,0.8567391304347827,0.8579842752650466,192.0
weighted avg,0.8635232454676899,0.859375,0.8585698435745007,192.0
