,precision,recall,f1-score,support
0.0,0.7857142857142857,0.11956521739130435,0.20754716981132076,92.0
1.0,0.5449438202247191,0.97,0.6978417266187051,100.0
accuracy,0.5625,0.5625,0.5625,0.5625
macro avg,0.6653290529695024,0.5447826086956522,0.4526944482150129,192.0
weighted avg,0.6603130016051364,0.5625,0.46290891814850016,192.0
