,precision,recall,f1-score,support
0.0,0.9418604651162791,0.81,0.8709677419354839,100.0
1.0,0.8333333333333334,0.95,0.8878504672897196,100.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.8875968992248062,0.88,0.8794091046126018,200.0
weighted avg,0.8875968992248062,0.88,0.8794091046126017,200.0
