,precision,recall,f1-score,support
0.0,0.9010989010989011,0.82,0.8586387434554974,100.0
1.0,0.8348623853211009,0.91,0.8708133971291867,100.0
accuracy,0.865,0.865,0.865,0.865
macro avg,0.867980643210001,0.865,0.864726070292342,200.0
weighted avg,0.8679806432100011,0.865,0.8647260702923422,200.0
