,precision,recall,f1-score,support
0.0,0.821917808219178,0.6521739130434783,0.7272727272727272,92.0
1.0,0.7310924369747899,0.87,0.7945205479452055,100.0
accuracy,0.765625,0.765625,0.765625,0.765625
macro avg,0.7765051225969839,0.7610869565217391,0.7608966376089663,192.0
weighted avg,0.7746129273627259,0.765625,0.7622976338729762,192.0
