,precision,recall,f1-score,support
0.0,0.8736842105263158,0.83,0.8512820512820513,100.0
1.0,0.8380952380952381,0.88,0.8585365853658538,100.0
accuracy,0.855,0.855,0.855,0.855
macro avg,0.855889724310777,0.855,0.8549093183239524,200.0
weighted avg,0.855889724310777,0.855,0.8549093183239524,200.0
