,precision,recall,f1-score,support
0.0,0.8636363636363636,0.76,0.8085106382978724,100.0
1.0,0.7857142857142857,0.88,0.830188679245283,100.0
accuracy,0.82,0.82,0.82,0.82
macro avg,0.8246753246753247,0.8200000000000001,0.8193496587715776,200.0
weighted avg,0.8246753246753247,0.82,0.8193496587715776,200.0
