,precision,recall,f1-score,support
0.0,0.8913043478260869,0.44565217391304346,0.5942028985507246,92.0
1.0,0.6506849315068494,0.95,0.7723577235772358,100.0
accuracy,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
macro avg,0.7709946396664682,0.6978260869565217,0.6832803110639802,192.0
weighted avg,0.7659817351598174,0.7083333333333334,0.6869918699186992,192.0
