,precision,recall,f1-score,support
0.0,0.9072164948453608,0.88,0.8934010152284264,100.0
1.0,0.883495145631068,0.91,0.896551724137931,100.0
accuracy,0.895,0.895,0.895,0.895
macro avg,0.8953558202382144,0.895,0.8949763696831787,200.0
weighted avg,0.8953558202382144,0.895,0.8949763696831787,200.0
