,precision,recall,f1-score,support
0.0,0.8058252427184466,0.83,0.8177339901477833,100.0
1.0,0.8247422680412371,0.8,0.8121827411167513,100.0
accuracy,0.815,0.815,0.815,0.815
macro avg,0.8152837553798418,0.815,0.8149583656322672,200.0
weighted avg,0.8152837553798418,0.815,0.8149583656322673,200.0
